0	@Apple Siri is down!
1	--- RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
0	Life was much easier when @apple and @BlackBerry were just fruits!
1	Is it just me or is #iOS5 faster for the iPad? @apple
1	Just downloaded IOS 5. It's better than I expected! #thankyou @apple
1	Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
1	RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE
0	Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight
1	@Apple Safari Reader owns the worldwide web
0	@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.
1	@Apple will be adding more carrier support to the iPhone 4S (just announced)
1	4 millions in a weekend 16 #iPhone4S per second. This is madness?! no this is @Apple !!!
1	@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?
1	Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple.
1	Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!
1	I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
1	@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to Will it blend? Glad to hear it's still alive.
1	@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
1	#Siri now knows who my dad mom brother and girlfriend is.  Thanks @apple
0	Samsung seeks iPhone 4S ban in Japan and AustraliaPatent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk
1	The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
1	When you want something done right you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered
1	Great up close & personal event @Apple tonight in Regent St store!
1	 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps
1	@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed
0	@apple $319 to repair my iPad 2 Apple you've lost me and my $700 a year Android here I come!
1	@Apple iOS 5 is sweet! Notifications phone search covers mail now wifi sync iCloud backup and integrated Twitter are all well done.
